customer_id,customer_name,gender,past_3_years_bike_related_purchases,dob,age,age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,customer_title,state
1,Mechelle,Female,93,19644,67.05065275,70,Executive Secretary,Health,Mass Customer,N,Yes,11,Very Loyal,NSW
2,Tyesha,Male,81,29571,39.85339248,40,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,Lost Customer,NSW
9,Dean,Female,97,26733,47.62873495,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,High Risk Customer,NSW
12,Annelle,Male,58,34536,26.25065275,30,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,Losing Customer,QLD
13,Margareta,Male,38,20135,65.70544727,70,Developer I,Financial Services,High Net Worth,N,Yes,8,Potential Customer,VIC
14,Meghann,Female,85,30400,37.5821596,40,Account Executive,Financial Services,Affluent Customer,N,No,6,High Risk Customer,NSW
15,Kendrick,Male,91,36720,20.26709111,30,Junior Executive,Manufacturing,Mass Customer,N,No,1,Potential Customer,NSW
19,Polly,Female,76,36996,19.51092673,20,Geological Engineer,Manufacturing,High Net Worth,N,No,1,Lost Customer,NSW
20,Evelyne,Male,72,29446,40.19585823,50,Project Manager,Manufacturing,Mass Customer,N,No,11,Potential Customer,NSW
21,Augustus,Male,74,29484,40.09174864,50,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,Becoming Loyal,NSW
24,Shawanda,Female,55,28462,42.89174864,50,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,Recent Customer,NSW
25,Loura,Male,72,28096,43.89448837,50,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,Platinum Customer,QLD
26,Lorriane,Female,12,28651,42.37394042,50,Editor,Financial Services,Mass Customer,N,Yes,16,Lost Customer,QLD
27,Lacey,Male,37,28758,42.08078974,50,Research Nurse,Health,Mass Customer,N,Yes,12,Almost Lost Customer,VIC
28,Nicki,Male,5,26937,47.06983084,50,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,Losing Customer,QLD
29,Sidney,Female,62,25011,52.34654316,60,Safety Technician III,Manufacturing,Mass Customer,N,No,19,Recent Customer,QLD
31,Barbie,Female,3,22974,57.92736508,60,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,Evasive Customer,NSW
32,Elden,Female,17,34809,25.50270755,30,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,Almost Lost Customer,NSW
35,Blossom,Female,40,23282,57.08352947,60,Information Systems Manager,Health,High Net Worth,N,Yes,16,Evasive Customer,QLD
37,Joseph,Female,46,31403,34.8342144,40,Social Worker,Health,High Net Worth,N,No,16,Platinum Customer,QLD
38,Pattie,Female,37,20391,65.00407741,70,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,High Risk Customer,QLD
39,Genevieve,Male,5,28961,41.52462536,50,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,Recent Customer,NSW
40,Luciano,Female,91,29886,38.99037878,40,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,Very Loyal,NSW
41,Noe,Male,64,27864,44.53010481,50,Food Chemist,Health,Mass Customer,N,No,16,Recent Customer,VIC
42,Karri,Female,24,28212,43.57668015,50,Accountant III,Manufacturing,Mass Customer,N,No,18,Evasive Customer,VIC
43,Larae,Female,38,30376,37.64791303,40,Director of Sales,Retail,Mass Customer,N,No,5,Losing Customer,QLD
44,Sharita,Male,63,29877,39.01503632,40,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,Potential Customer,QLD
45,Frederica,Male,64,27660,45.08900892,50,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,Late Bloomer,NSW
47,Mara,Male,51,33899,27.99585823,30,Registered Nurse,Health,Affluent Customer,N,No,2,Potential Customer,NSW
50,Enola,Male,38,29495,40.06161166,50,Account Executive,Manufacturing,Mass Customer,N,Yes,16,Recent Customer,NSW
51,Leslie,Male,68,21889,60.89996782,70,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,Late Bloomer,QLD
53,Gina,Female,22,19832,66.53558426,70,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,Becoming Loyal,QLD
54,Marietta,Female,2,24312,54.26161166,60,Sales Associate,Property,Mass Customer,N,Yes,18,Losing Customer,NSW
55,Karlyn,Male,48,20722,64.0972281,70,Paralegal,Financial Services,Affluent Customer,N,Yes,7,Losing Customer,NSW
56,Herma,Male,44,35250,24.29448837,30,VP Sales,Property,Mass Customer,N,Yes,4,Becoming Loyal,NSW
58,Gertrud,Female,26,24657,53.31640618,60,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,Recent Customer,NSW
61,Kelsie,Female,47,21883,60.91640618,70,Help Desk Operator,Property,High Net Worth,N,No,13,Losing Customer,NSW
63,Selena,Female,58,23926,55.3191459,60,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,Almost Lost Customer,NSW
64,Teri,Male,73,28574,42.58489933,50,Legal Assistant,IT,High Net Worth,N,No,4,Becoming Loyal,VIC
65,Lizette,Male,21,27851,44.56572125,50,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,Almost Lost Customer,NSW
66,Mayra,Male,46,37326,18.60681714,20,Account Executive,Argiculture,High Net Worth,N,No,1,Potential Customer,NSW
67,Luisa,Male,67,22081,60.37394042,70,Web Developer II,Retail,Mass Customer,N,No,18,Evasive Customer,NSW
70,Genoveva,Male,78,34027,27.6451733,30,Paralegal,Financial Services,Affluent Customer,N,No,8,Becoming Loyal,NSW
71,Tandra,Male,30,31074,35.73558426,40,Research Associate,Argiculture,Affluent Customer,N,Yes,12,Lost Customer,NSW
72,Zoe,Male,93,26342,48.69996782,50,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,Late Bloomer,QLD
75,Marquerite,Female,28,28686,42.27805001,50,VP Product Management,Property,Mass Customer,N,No,19,Late Bloomer,NSW
76,Alva,Female,20,28513,42.75202262,50,Statistician II,Retail,High Net Worth,N,Yes,18,Very Loyal,QLD
77,Maudie,Male,79,32763,31.108187,40,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,Lost Customer,QLD
78,Hilde,Male,37,31118,35.61503632,40,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,Lost Customer,NSW
79,Christiana,Female,76,25113,52.06709111,60,Account Executive,Manufacturing,Mass Customer,N,No,18,High Risk Customer,NSW
80,Bulah,Male,11,28604,42.50270755,50,Data Coordiator,Entertainment,Mass Customer,N,No,13,Recent Customer,VIC
82,Azzie,Female,93,23921,55.33284453,60,Software Test Engineer III,Property,High Net Worth,N,No,19,High Risk Customer,VIC
83,Sharri,Male,97,24529,53.66709111,60,Internal Auditor,IT,Mass Customer,N,Yes,18,High Risk Customer,NSW
86,Rebecka,Male,75,32571,31.6342144,40,Occupational Therapist,Health,High Net Worth,N,Yes,7,Very Loyal,NSW
